GBAC,Year,Country,Host,Serotype,Topotype,Lineage,pool
OM160610/TUN/cattle/2014/O/ME-SA/Ind-2001d,2014,TUN,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,
OM456150/PAK/buffalo/2010/O/ME-SA/PanAsia-2,2010,PAK,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456149/PAK/cattle/2012/O/ME-SA/PanAsia-2,2012,PAK,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456148/PAK/buffalo/2012/O/ME-SA/PanAsia-2,2012,PAK,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456147/PAK/cattle/2011/O/ME-SA/PanAsia-2,2011,PAK,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456146/PAK/cattle/2010/O/ME-SA/PanAsia-2,2010,PAK,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456144/PAK/cattle/2010/O/ME-SA/PanAsia-2,2010,PAK,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456143/PAK/buffalo/2012/O/ME-SA/PanAsia-2,2012,PAK,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456142/PAK/buffalo/2011/O/ME-SA/PanAsia-2,2011,PAK,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456141/PAK/buffalo/2011/O/ME-SA/PanAsia-2,2011,PAK,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456140/PAK/buffalo/2011/O/ME-SA/PanAsia-2,2011,PAK,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456139/PAK/buffalo/2011/O/ME-SA/PanAsia-2,2011,PAK,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456138/PAK/buffalo/2009/O/ME-SA/PanAsia-2,2009,PAK,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456137/PAK/cattle/2012/O/ME-SA/PanAsia-2,2012,PAK,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456136/PAK/buffalo/2012/O/ME-SA/PanAsia-2,2012,PAK,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456135/PAK/cattle/2012/O/ME-SA/PanAsia-2,2012,PAK,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456134/PAK/cattle/2012/O/ME-SA/PanAsia-2,2012,PAK,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM455484/PAK/buffalo/2012/A/ASIA/Iran-05,2012,PAK,buffalo,A,ASIA,Iran-05,Pool3
OM455482/PAK/cattle/2009/A/ASIA/Iran-05,2009,PAK,cattle,A,ASIA,Iran-05,Pool3
OM455481/PAK/buffalo/2012/A/ASIA/Iran-05,2012,PAK,buffalo,A,ASIA,Iran-05,Pool3
OM471680/PAK/buffalo/2012/Asia1/ASIA/Unknown,2012,PAK,buffalo,Asia1,ASIA,,Pool3
OM471679/PAK/cattle/2012/Asia1/ASIA/Unknown,2012,PAK,cattle,Asia1,ASIA,,Pool3
OM471677/PAK/buffalo/2012/Asia1/ASIA/Unknown,2012,PAK,buffalo,Asia1,ASIA,,Pool3
OM471676/PAK/cattle/2011/Asia1/ASIA/Unknown,2011,PAK,cattle,Asia1,ASIA,,Pool3
OM471675/PAK/cattle/2011/Asia1/ASIA/Unknown,2011,PAK,cattle,Asia1,ASIA,,Pool3
OM471672/PAK/cattle/2012/Asia1/ASIA/Unknown,2012,PAK,cattle,Asia1,ASIA,,Pool3
OM471670/PAK/buffalo/2012/Asia1/ASIA/Unknown,2012,PAK,buffalo,Asia1,ASIA,,Pool3
OM471669/PAK/cattle/2012/Asia1/ASIA/Unknown,2012,PAK,cattle,Asia1,ASIA,,Pool3
OM471667/PAK/buffalo/2011/Asia1/ASIA/Unknown,2011,PAK,buffalo,Asia1,ASIA,,Pool3
OM471663/PAK/cattle/2012/Asia1/ASIA/Unknown,2012,PAK,cattle,Asia1,ASIA,,Pool3
OM471661/PAK/cattle/2012/Asia1/ASIA/Unknown,2012,PAK,cattle,Asia1,ASIA,,Pool3
OM471660/PAK/buffalo/2012/Asia1/ASIA/Unknown,2012,PAK,buffalo,Asia1,ASIA,,Pool3
OM022649/NER/cattle/2017/O/EA-3/Unknown,2017,NER,cattle,O,EAST-AFRICA-3-EA-3,,Pool5
OM022646/NER/cattle/2017/O/EA-3/Unknown,2017,NER,cattle,O,EAST-AFRICA-3-EA-3,,Pool5
OM022643/NER/cattle/2017/O/EA-3/Unknown,2017,NER,cattle,O,EAST-AFRICA-3-EA-3,,Pool5
OM022642/NER/cattle/2018/O/EA-3/Unknown,2018,NER,cattle,O,EAST-AFRICA-3-EA-3,,Pool5
OK019689/IRN/cow/2016/O/ME-SA/PanAsia-2,2016,IRN,cow,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
MG334583/IRQ/cow/2009/A/ASIA/Iran-05,2009,IRQ,cow,A,ASIA,Iran-05,Pool3
MW355677/ZAF/cattle/1979/SAT3/I-SEZ/Unknown,1979,ZAF,cattle,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ,,Pool6
MW355676/ZWE/cattle/1976/SAT3/I-SEZ/Unknown,1976,ZWE,cattle,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ,,Pool6
MW355673/ZWE/cattle/1989/SAT2/II/Unknown,1989,ZWE,cattle,SAT2,II,,Pool6
MW355671/MOZ/Unknown/1970/SAT2/I/Unknown,1970,MOZ,,SAT2,I,,Pool6
MW355669/ZMB/cattle/1988/SAT1/I-NWZ/Unknown,1988,ZMB,cattle,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,Pool6
MW355668/TZA/cattle/1980/SAT1/I-NWZ/Unknown,1980,TZA,cattle,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,Pool4
LC564923/THA/cow/2016/A/ASIA/Sea-97,2016,THA,cow,A,ASIA,Sea-97,Pool1
LC564922/THA/cow/2016/A/ASIA/Sea-97,2016,THA,cow,A,ASIA,Sea-97,Pool1
LC564921/THA/cow/2016/A/ASIA/Sea-97,2016,THA,cow,A,ASIA,Sea-97,Pool1
LC564920/THA/cow/2015/A/ASIA/Sea-97,2015,THA,cow,A,ASIA,Sea-97,Pool1
LC564919/THA/cow/2015/A/ASIA/Sea-97,2015,THA,cow,A,ASIA,Sea-97,Pool1
LC564918/THA/cow/2015/A/ASIA/Sea-97,2015,THA,cow,A,ASIA,Sea-97,Pool1
LC564917/THA/cow/2015/A/ASIA/Sea-97,2015,THA,cow,A,ASIA,Sea-97,Pool1
LC564916/THA/cow/2014/A/ASIA/Sea-97,2014,THA,cow,A,ASIA,Sea-97,Pool1
LC564915/THA/cow/2014/A/ASIA/Sea-97,2014,THA,cow,A,ASIA,Sea-97,Pool1
LC564914/THA/cow/2014/A/ASIA/Sea-97,2014,THA,cow,A,ASIA,Sea-97,Pool1
LC564912/THA/cow/2013/A/ASIA/Sea-97,2013,THA,cow,A,ASIA,Sea-97,Pool1
LC564911/THA/cow/2013/A/ASIA/Sea-97,2013,THA,cow,A,ASIA,Sea-97,Pool1
LC564909/THA/cow/2012/A/ASIA/Sea-97,2012,THA,cow,A,ASIA,Sea-97,Pool1
LC564907/THA/cow/2011/A/ASIA/Sea-97,2011,THA,cow,A,ASIA,Sea-97,Pool1
LC564906/THA/cow/2011/A/ASIA/Sea-97,2011,THA,cow,A,ASIA,Sea-97,Pool1
LC564905/THA/cow/2011/A/ASIA/Sea-97,2011,THA,cow,A,ASIA,Sea-97,Pool1
LC564904/THA/cow/2010/A/ASIA/Sea-97,2010,THA,cow,A,ASIA,Sea-97,Pool1
LC564903/THA/cow/2010/A/ASIA/Sea-97,2010,THA,cow,A,ASIA,Sea-97,Pool1
LC564902/THA/cow/2010/A/ASIA/Sea-97,2010,THA,cow,A,ASIA,Sea-97,Pool1
LC564901/THA/cow/2009/A/ASIA/Sea-97,2009,THA,cow,A,ASIA,Sea-97,Pool1
LC564900/THA/cow/2009/A/ASIA/Sea-97,2009,THA,cow,A,ASIA,Sea-97,Pool1
LC564898/THA/cow/2008/A/ASIA/Sea-97,2008,THA,cow,A,ASIA,Sea-97,Pool1
LC564896/THA/cow/2007/A/ASIA/Sea-97,2007,THA,cow,A,ASIA,Sea-97,Pool1
LC564895/THA/cow/2007/A/ASIA/Sea-97,2007,THA,cow,A,ASIA,Sea-97,Pool1
LC564894/THA/cow/2007/A/ASIA/Sea-97,2007,THA,cow,A,ASIA,Sea-97,Pool1
MW715629/NER/cow/2017/SAT2/VII/Unknown,2017,NER,cow,SAT2,VII,,Pool5
MW715628/NER/cow/2017/SAT2/VII/Unknown,2017,NER,cow,SAT2,VII,,Pool5
MW715627/NER/cow/2017/SAT2/VII/Unknown,2017,NER,cow,SAT2,VII,,Pool5
MW715624/NER/cow/2017/SAT2/VII/Unknown,2017,NER,cow,SAT2,VII,,Pool5
MW715623/NER/cow/2017/SAT2/VII/Unknown,2017,NER,cow,SAT2,VII,,Pool5
MW715622/NER/cow/2018/SAT2/VII/Unknown,2018,NER,cow,SAT2,VII,,Pool5
KY444649/THA/pig/2016/O/SEA/Unknown,2016,THA,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
KY444648/THA/pig/2016/O/SEA/Unknown,2016,THA,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
KY444647/THA/pig/2016/O/SEA/Unknown,2016,THA,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
KY444646/THA/pig/2016/O/SEA/Unknown,2016,THA,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
KY444644/THA/pig/2013/O/SEA/Mya-98,2013,THA,pig,O,SOUTHEAST-ASIA-SEA,Mya-98,Pool1
MT944983/IRN/goat/2016/O/ME-SA/PanAsia-2,2016,IRN,goat,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
MT944981/IRN/dog/2016/O/ME-SA/PanAsia-2,2016,IRN,dog,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
MT602092/KEN/cattle/2017/SAT2/IV/Unknown,2017,KEN,cattle,SAT2,IV,,Pool4
MT602090/ETH/cattle/2015/SAT2/VII/Unknown,2015,ETH,cattle,SAT2,VII,,Pool4
MT602089/EGY/cattle/2018/SAT2/VII/Unknown,2018,EGY,cattle,SAT2,VII,,Pool3/Pool4
MT602088/TZA/cattle/2014/SAT1/I-NWZ/Unknown,2014,TZA,cattle,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,Pool4
MT602087/TZA/cattle/2013/SAT1/I-NWZ/Unknown,2013,TZA,cattle,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,Pool4
MT602086/TZA/cattle/2012/SAT1/I-NWZ/Unknown,2012,TZA,cattle,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,Pool4
MT602085/KEN/cattle/2013/SAT1/I-NWZ/Unknown,2013,KEN,cattle,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,Pool4
MT602084/KEN/cattle/2018/O/EA-2/Unknown,2018,KEN,cattle,O,EAST-AFRICA-2-EA-2,,Pool4
MT602081/ETH/cattle/2015/O/EA-3/Unknown,2015,ETH,cattle,O,EAST-AFRICA-3-EA-3,,Pool4
MT602079/SDN/cattle/2018/A/AFRICA/Unknown,2018,SDN,cattle,A,AFRICA,,Pool4
MT602078/ETH/cattle/2019/A/AFRICA/Unknown,2019,ETH,cattle,A,AFRICA,,Pool4
MT602077/ETH/cattle/2018/A/AFRICA/Unknown,2018,ETH,cattle,A,AFRICA,,Pool4
MT863268/EGY/water-buffalo/2016/A/AFRICA/Unknown,2016,EGY,water-buffalo,A,AFRICA,,Pool3/Pool4
KY322680/VNM/cattle/2013/A/ASIA/Sea-97,2013,VNM,cattle,A,ASIA,Sea-97,Pool1
KY322678/MYS/cattle/2013/A/ASIA/Sea-97,2013,MYS,cattle,A,ASIA,Sea-97,Pool1
KY322677/MYS/cattle/2013/A/ASIA/Sea-97,2013,MYS,cattle,A,ASIA,Sea-97,Pool1
KY322676/MYS/cattle/2013/A/ASIA/Sea-97,2013,MYS,cattle,A,ASIA,Sea-97,Pool1
KY322675/LAO/cattle/2014/A/ASIA/Sea-97,2014,LAO,cattle,A,ASIA,Sea-97,Pool1
KY322673/MYS/cattle/2014/O/SEA/Mya-98,2014,MYS,cattle,O,SOUTHEAST-ASIA-SEA,Mya-98,Pool1
KY322672/MYS/cattle/2014/O/SEA/Unknown,2014,MYS,cattle,O,SOUTHEAST-ASIA-SEA,,Pool1
KY322671/MYS/cattle/2014/O/SEA/Mya-98,2014,MYS,cattle,O,SOUTHEAST-ASIA-SEA,Mya-98,Pool1
KY322670/LAO/cattle/2013/O/SEA/Mya-98,2013,LAO,cattle,O,SOUTHEAST-ASIA-SEA,Mya-98,Pool1
MN983158/IND/cattle/2009/O/ME-SA/Unknown,2009,IND,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool2
MN983157/IND/cattle/2009/O/ME-SA/Ind-2001c,2009,IND,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001c,Pool2
MN983156/IND/cattle/2008/O/ME-SA/Unknown,2008,IND,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool2
MN983155/IND/cattle/2008/O/ME-SA/Ind-2001b,2008,IND,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001b,Pool2
MN983154/IND/cattle/2005/O/ME-SA/Ind-2001b,2005,IND,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001b,Pool2
MN983153/IND/cattle/2001/O/ME-SA/Ind-2001b,2001,IND,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001b,Pool2
MN983152/IND/cattle/1997/O/ME-SA/Ind-2001a,1997,IND,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001a,Pool2
MN953620/PAK/cattle/2019/O/ME-SA/Unknown,2019,PAK,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool3
MN953619/PAK/cattle/2019/O/ME-SA/Unknown,2019,PAK,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool3
MN389541/CHN/pig/2010/O/SEA/Unknown,2010,CHN,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
MK940253/SAU/cattle/2017/A/ASIA/Unknown,2017,SAU,cattle,A,ASIA,,Pool3
MN062587/PAK/cattle/2009/A/ASIA/Iran-05,2009,PAK,cattle,A,ASIA,Iran-05,Pool3
MN062586/AFG/cattle/2009/A/ASIA/Iran-05,2009,AFG,cattle,A,ASIA,Iran-05,Pool3
MN062585/TUR/cattle/2010/O/ME-SA/PanAsia-2,2010,TUR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
MN062583/PAK/cattle/2009/O/ME-SA/PanAsia-2,2009,PAK,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
MN062582/PAK/buffalo/2009/O/ME-SA/PanAsia-2,2009,PAK,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
MN062580/IRN/cattle/2010/O/ME-SA/PanAsia-2,2010,IRN,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
MN062579/IRN/cattle/2010/O/ME-SA/PanAsia-2,2010,IRN,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
MN250318/VNM/pig/2019/O/CATHAY/Unknown,2019,VNM,pig,O,CATHAY,,Pool1
MN250317/VNM/pig/2018/O/CATHAY/Unknown,2018,VNM,pig,O,CATHAY,,Pool1
MN250316/VNM/pig/2018/O/CATHAY/Unknown,2018,VNM,pig,O,CATHAY,,Pool1
MN250315/VNM/pig/2018/O/CATHAY/Unknown,2018,VNM,pig,O,CATHAY,,Pool1
MN275121/CMR/cow/2016/SAT1/X/Unknown,2016,CMR,cow,SAT1,X,,Pool5
MN116688/KEN/cow/2016/A/AFRICA/Unknown,2016,KEN,cow,A,AFRICA,,Pool4
MN103523/NER/cow/2014/SAT2/VII/Unknown,2014,NER,cow,SAT2,VII,,Pool5
MN116694/KEN/cow/2016/O/EA-2/Unknown,2016,KEN,cow,O,EAST-AFRICA-2-EA-2,,Pool4
MN116693/KEN/cow/2014/O/EA-2/Unknown,2014,KEN,cow,O,EAST-AFRICA-2-EA-2,,Pool4
MN116692/KEN/cow/2014/SAT2/IV/Unknown,2014,KEN,cow,SAT2,IV,,Pool4
MN116691/KEN/cow/2016/SAT1/I-NWZ/Unknown,2016,KEN,cow,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,Pool4
MN116690/KEN/cow/2014/SAT1/I-NWZ/Unknown,2014,KEN,cow,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,Pool4
MN116689/KEN/cow/2014/SAT1/I-NWZ/Unknown,2014,KEN,cow,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,Pool4
MN095371/IND/cattle/2014/O/ME-SA/Ind-2001d,2014,IND,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2
MN095365/IND/cattle/2014/O/ME-SA/Ind-2001d,2014,IND,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2
MN095364/IND/cattle/2014/O/ME-SA/Ind-2001d,2014,IND,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2
MN095363/IND/cattle/2013/O/ME-SA/Ind-2001d,2013,IND,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2
MN095357/IND/cattle/2013/O/ME-SA/Ind-2001d,2013,IND,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2
MN095355/IND/cattle/2013/O/ME-SA/Ind-2001d,2013,IND,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2
MN095354/IND/cattle/2013/O/ME-SA/Ind-2001d,2013,IND,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2
NC_039210/GBR/Unknown/1965/O/EURO-SA/Unknown,1965,GBR,,O,EUROPE-SOUTH-AMERICA-EURO-SA,,
LC456873/GHA/cow/2018/O/EA-3/Unknown,2018,GHA,cow,O,EAST-AFRICA-3-EA-3,,Pool5
LC456871/GHA/cow/2018/O/EA-3/Unknown,2018,GHA,cow,O,EAST-AFRICA-3-EA-3,,Pool5
MK071699/BGD/cattle/2013/O/ME-SA/Unknown,2013,BGD,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool2
LC438823/MMR/cow/2016/O/ME-SA/Unknown,2016,MMR,cow,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
LC438822/MMR/cow/2016/O/ME-SA/Unknown,2016,MMR,cow,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
MH845413/VNM/pig/2014/O/SEA/Unknown,2014,VNM,pig,O,SOUTHEAST-ASIA-SEA,,Pool1
MF947143/VNM/cattle/2013/O/ME-SA/Unknown,2013,VNM,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
MF947137/VNM/buffalo/2012/O/ME-SA/Unknown,2012,VNM,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
MF947132/VNM/buffalo/2015/O/ME-SA/Unknown,2015,VNM,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
MF947131/VNM/pig/2013/O/ME-SA/Unknown,2013,VNM,pig,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
MF947129/VNM/pig/2014/O/ME-SA/Unknown,2014,VNM,pig,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
MF947128/VNM/cattle/2010/O/ME-SA/Unknown,2010,VNM,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
MF947127/VNM/buffalo/2012/O/ME-SA/Unknown,2012,VNM,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
MF947126/VNM/pig/2011/O/ME-SA/Unknown,2011,VNM,pig,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
MF947124/VNM/cattle/2012/O/ME-SA/Unknown,2012,VNM,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
MF947123/VNM/buffalo/2011/O/ME-SA/Unknown,2011,VNM,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
MH891503/VNM/cow/2017/O/ME-SA/Unknown,2017,VNM,cow,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
MH784405/PAK/cattle/2017/O/ME-SA/PanAsia-2,2017,PAK,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
MH784404/PAK/water-buffalo/2017/O/ME-SA/PanAsia-2,2017,PAK,water-buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
MH784403/PAK/cattle/2016/O/ME-SA/PanAsia-2,2016,PAK,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
MG983741/VNM/cattle/2016/O/ME-SA/Unknown,2016,VNM,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
MG983740/VNM/cattle/2015/O/ME-SA/Ind-2001d,2015,VNM,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool1
MG983739/ARE/cattle/2016/O/ME-SA/Unknown,2016,ARE,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool3
MG983738/ARE/cattle/2016/O/ME-SA/Unknown,2016,ARE,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool3
MG983737/ARE/gazelle/2014/O/ME-SA/Ind-2001d,2014,ARE,gazelle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool3
MG983735/TUN/Unknown/2014/O/ME-SA/Ind-2001d,2014,TUN,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,
MG983734/LKA/water-buffalo/2014/O/ME-SA/Ind-2001d,2014,LKA,water-buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2
MG983733/LKA/cattle/2014/O/ME-SA/Ind-2001d,2014,LKA,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2
MG983732/LKA/cattle/2014/O/ME-SA/Ind-2001d,2014,LKA,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2
MG983731/LKA/cattle/2013/O/ME-SA/Ind-2001d,2013,LKA,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool2
MG983730/KOR/cattle/2017/O/ME-SA/Unknown,2017,KOR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
MG983729/SAU/cattle/2016/O/ME-SA/Unknown,2016,SAU,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool3
MG983728/SAU/cattle/2016/O/ME-SA/Unknown,2016,SAU,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool3
MG983727/SAU/cattle/2015/O/ME-SA/Unknown,2015,SAU,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool3
MG983726/SAU/cattle/2014/O/ME-SA/Ind-2001d,2014,SAU,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool3
MG983725/SAU/cattle/2014/O/ME-SA/Ind-2001d,2014,SAU,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,Pool3
